시군구명,address_name,경도,위도,도로명주소,상호명,수량,세부위치
마포구,서울 마포구 토정로 261,126.939396951664,37.5431010969782,서울특별시 마포구 토정로 261,잔비어,1,육도창고 보관
마포구,서울 마포구 토정로 261,126.939396951664,37.5431010969782,서울특별시 마포구 토정로 261,육도,1,창고보관
마포구,서울 마포구 토정로31길 23,126.941479693192,37.5416322568747,서울특별시 마포구 토정로31길 23,술친구호프,1,띠녹지앞
마포구,서울 마포구 토정로31길 23,126.941479693192,37.5416322568747,서울특별시 마포구 토정로31길 23 마포리버웰상가 1층,어부네회,1,띠녹지앞
마포구,서울 마포구 토정로31길 23,126.941479693192,37.5416322568747,서울특별시 마포구 토정로31길 23 마포리버웰상가 주차장 창고,창고보관,6,
마포구,서울 마포구 토정로31길 35,126.943083375629,37.5425613405773,서울특별시 마포구 토정로31길 35,용강동 지구대,1,지구대옆
마포구,서울 마포구 토정로33길 5,126.942456284674,37.5412262057517,서울특별시 마포구 토정로33길 5,장남식당,2,가게앞
마포구,서울 마포구 토정로35길 11,126.943926893937,37.5405044916054,서울특별시 마포구 토정로35길 11,서울안심축산,1,가게앞
마포구,서울 마포구 토정로 317,126.944102580798,37.5397952176969,서울특별시 마포구 토정로 317,석양집,1,띠녹지앞
마포구,서울 마포구 토정로35길 26,126.94466535677,37.5407552277925,서울특별시 마포구 토정로35길 26,수코미치,1,
마포구,서울 마포구 토정로35길 26,126.94466535677,37.5407552277925,서울특별시 마포구 토정로35길 26,동북왕,1,
마포구,서울 마포구 토정로35길 26,126.94466535677,37.5407552277925,서울특별시 마포구 토정로35길 26,수코미치,1,
마포구,서울 마포구 토정로35길 26,126.94466535677,37.5407552277925,서울특별시 마포구 토정로35길 26,동북왕,1,
마포구,서울 마포구 토정로37가길 9,126.944048335907,37.5400084586868,서울특별시 마포구 토정로37가길 9 ,한강 탭룸,1,가게안
마포구,서울 마포구 토정로37길 13,126.944704679552,37.5406748770308,서울특별시 마포구 토정로37길 13,우림집,1,가게앞
마포구,서울 마포구 토정로37길 17,126.944833094984,37.5411504847653,서울특별시 마포구 토정로37길 17,니찌니찌,1,
마포구,서울 마포구 토정로37길 19,126.944940207631,37.5412076581386,서울특별시 마포구 토정로37길 19,7080라이브필,1,가게안
