address_name,경도,위도,설치장소,연번,도로명,설치 장소 유형,수거 쓰레기 종류,형태,시군구명
서울 중랑구 상봉동 130-3,127.074681320491,37.5932328015902,서울특별시 중랑구 상봉동 130-3,1,망우로,담배꽁초 무단투기 취약지역,담배꽁초,담배꽁초 수거함,중랑구
서울 중랑구 묵동 122-361,127.078312444399,37.6092671767219,서울특별시 중랑구 묵동 122-361,2,동일로,담배꽁초 무단투기 취약지역,담배꽁초,담배꽁초 수거함,중랑구
서울 중랑구 공릉로2가길 5,127.078479291591,37.612414580688,서울특별시 중랑구 공릉로2가길 5 묵1동주민센터,3,공릉로,담배꽁초 무단투기 취약지역,담배꽁초,담배꽁초 수거함,중랑구
서울 중랑구 중랑역로 100,127.077797714827,37.6024297259926,서울특별시 중랑구 중랑역로 100,4,중랑역로,담배꽁초 무단투기 취약지역,담배꽁초,담배꽁초 수거함,중랑구
서울 중랑구 동일로101길,127.076756397416,37.5888366116663,서울특별시 중랑구 동일로 101길,5,동일로,담배꽁초 무단투기 취약지역,담배꽁초,담배꽁초 수거함,중랑구
서울 중랑구 겸재로3길 50,127.076907543484,37.5881687878315,서울특별시 중랑구 겸재로3길 50,6,겸재로,담배꽁초 무단투기 취약지역,담배꽁초,담배꽁초 수거함,중랑구
서울 중랑구 겸재로 122,127.081347905764,37.5868055827869,서울특별시 중랑구 겸재로122 박가네추어탕,7,겸재로,담배꽁초 무단투기 취약지역,담배꽁초,담배꽁초 수거함,중랑구
