시군구명,동명,address_name,경도,위도,설치주소,위  치
강남구,신사동,서울 강남구 압구정로14길 6,127.022980226111,37.523858489259,서울특별시 강남구 압구정로14길 6,코다차야 남동쪽(가게 앞)
강남구,신사동,서울 강남구 강남대로152길 14,127.020699344217,37.5171506735807,서울특별시 강남구 강남대로152길 14,FLASH BAR 동쪽(전신주)
강남구,신사동,서울 강남구 강남대로152길 29,127.021697932358,37.5179477021889,서울특별시 강남구 강남대로152길 29,인사동촌 남쪽(가게 앞)
강남구,신사동,서울 강남구 강남대로152길 34,127.02210634185,37.5177615692586,서울특별시 강남구 강남대로152길 34,고향역(전신주)
강남구,논현1동,서울 강남구 학동로2길 11,127.02273341768,37.5105392729193,서울특별시 강남구 학동로2길 11,영풍빌딩 주차장 옆
강남구,논현1동,서울 강남구 학동로2길 19,127.022960047655,37.5100607055782,서울특별시 강남구 학동로2길 19,GS25 앞
강남구,논현1동,서울 강남구 학동로2길 47,127.023672833289,37.5086256248304,서울특별시 강남구 학동로2길 47,공사장 담장
강남구,논현1동,서울 강남구 학동로2길 47,127.023672833289,37.5086256248304,서울특별시 강남구 학동로2길 47,공사장 부근
강남구,논현1동,서울 강남구 봉은사로1길 35,127.024049967581,37.5070191469956,서울특별시 강남구 봉은사로1길 35,원할머니보쌈 좌측
강남구,논현1동,서울 강남구 봉은사로1길 32,127.024515199807,37.5068294798978,서울특별시 강남구 봉은사로1길 32,김봉남포차 앞(상호변경)
강남구,논현1동,서울 강남구 봉은사로1길 16,127.024941721878,37.5058765776821,서울특별시 강남구 봉은사로1길 16,노랑통닭 앞
강남구,논현1동,서울 강남구 봉은사로1길 16,127.024941721878,37.5058765776821,서울특별시 강남구 봉은사로1길 16,주차장 앞
강남구,논현1동,서울 강남구 봉은사로1길 16,127.024941721878,37.5058765776821,서울특별시 강남구 봉은사로1길 16,노랑통닭 앞
강남구,논현1동,서울 강남구 봉은사로1길 16,127.024941721878,37.5058765776821,서울특별시 강남구 봉은사로1길 16,주차장 앞
강남구,논현1동,서울 강남구 학동로2길 47,127.023672833289,37.5086256248304,서울특별시 강남구 학동로2길 47,공사장 담장
강남구,논현1동,서울 강남구 학동로2길 47,127.023672833289,37.5086256248304,서울특별시 강남구 학동로2길 47,공사장 부근
강남구,논현1동,서울 강남구 학동로2길 13,127.022801926675,37.5104309589729,서울특별시 강남구 학동로2길 13,자생한방병원주차장 앞
강남구,논현2동,서울 강남구 논현동 98-6,127.035116116332,37.5202377082743,서울특별시 강남구 논현동 98-6,육일점 앞
강남구,논현2동,서울 강남구 논현동 97-20,127.035163813298,37.5206351264877,서울특별시 강남구 논현동 97-20,청담소 앞
강남구,논현2동,서울 강남구 논현동 97-18,127.035322545477,37.5206855352869,서울특별시 강남구 논현동 97-18,자연석 돌구이 앞
강남구,논현2동,서울 강남구 논현동 97-17,127.03546102616,37.5207294627333,서울특별시 강남구 논현동 97-17,홍대찜닭 앞
강남구,논현2동,서울 강남구 논현동 98-12,127.036095252922,37.5204072521637,서울특별시 강남구 논현동 98-12,한아름 한정식 앞
강남구,논현2동,서울 강남구 논현동 98-12,127.036095252922,37.5204072521637,서울특별시 강남구 논현동 98-12,바른스시전문점 앞
강남구,논현2동,서울 강남구 논현동 98-12,127.036095252922,37.5204072521637,서울특별시 강남구 논현동 98-12,한아름 한정식 앞
강남구,논현2동,서울 강남구 논현동 98-12,127.036095252922,37.5204072521637,서울특별시 강남구 논현동 98-12,바른스시전문점 앞
강남구,논현2동,서울 강남구 논현동 105-12,127.037082627275,37.5209844891559,서울특별시 강남구 논현동 105-12,브라보 PBA SQURE 앞
강남구,압구정동,서울 강남구 압구정로36길 8,127.031320992326,37.5279511760453,서울특별시 강남구 압구정로36길 8,라곱창~풀바셋(음식물수거통 옆) 
강남구,삼성1동,서울 강남구 삼성로100길 24,127.057278045951,37.5098720924876,서울특별시 강남구 삼성로100길 24,가게앞 모퉁이
강남구,삼성1동,서울 강남구 테헤란로81길 46,127.056274735406,37.5097740048443,서울특별시 강남구 테헤란로81길 46,가게앞 모퉁이
강남구,삼성1동,서울 강남구 테헤란로83길 12,127.057943840464,37.5081957189617,서울특별시 강남구 테헤란로83길 12,제일주차장앞 보도상
강남구,삼성1동,서울 강남구 삼성로92길 27,127.058532226672,37.5083786932357,서울특별시 강남구 삼성로92길 27,도로 모퉁이
강남구,삼성1동,서울 강남구 삼성로96길 15,127.057075333082,37.5090904790547,서울특별시 강남구 삼성로96길 15,오징어세상가게 옆골목도로변
강남구,삼성1동,서울 강남구 삼성로104길 22,127.056586087827,37.5109410172372,서울특별시 강남구 삼성로104길 22,주소지앞 모퉁이 보도상
강남구,삼성1동,서울 강남구 봉은사로82길 32,127.055317832558,37.5110991135466,서울특별시 강남구 봉은사로82길 32,주소지 앞 보도상
강남구,삼성1동,서울 강남구 삼성로104길 17,127.055954807579,37.5111971130935,서울특별시 강남구 삼성로104길 17,주소지 앞 보도상
강남구,삼성1동,서울 강남구 삼성로104길 28,127.05702008388,37.5112487718071,서울특별시 강남구 삼성로104길 28,주소지 앞 보도상
강남구,대치4동,서울 강남구 테헤란로64길,127.051309674582,37.5039816325824,서울특별시 강남구  테헤란로64길,더 나인 오피스텔 앞 전신주 옆
강남구,대치4동,서울 강남구 테헤란로64길,127.051309674582,37.5039816325824,서울특별시 강남구  테헤란로64길,전신주 옆 코너
강남구,대치4동,서울 강남구 테헤란로64길,127.051309674582,37.5039816325824,서울특별시 강남구  테헤란로64길,더 나인 오피스텔 앞 전신주 옆
강남구,대치4동,서울 강남구 테헤란로64길,127.051309674582,37.5039816325824,서울특별시 강남구  테헤란로64길,전신주 옆 코너
강남구,대치4동,서울 강남구 선릉로86길,127.05171067105,37.5035948362881,서울특별시 강남구  선릉로86길,896-25 건너편코너
강남구,대치4동,서울 강남구 삼성로85길,127.055535567476,37.5048466687952,서울특별시 강남구  삼성로85길,대우아이빌멤버스1층 선릉미래공인중개사무소 앞
강남구,대치4동,서울 강남구 삼성로85길,127.055535567476,37.5048466687952,서울특별시 강남구  삼성로85길,카페디퍼 포스코점커피숍 앞
강남구,대치4동,서울 강남구 선릉로90길,127.05231763904,37.5048727352622,서울특별시 강남구  선릉로90길,대우아이빌명문가앞 담장
강남구,대치4동,서울 강남구 삼성로85길,127.055535567476,37.5048466687952,서울특별시 강남구  삼성로85길,대우아이빌멤버스1층 선릉미래공인중개사무소 앞
강남구,대치4동,서울 강남구 삼성로85길,127.055535567476,37.5048466687952,서울특별시 강남구  삼성로85길,카페디퍼 포스코점커피숍 앞
강남구,대치4동,서울 강남구 선릉로90길 56,127.053831329394,37.5050311726932,서울특별시 강남구 선릉로90길 56,대우아이빌명문가앞 담장
강남구,역삼1동,서울 강남구 강남대로 468,127.025144947963,37.5041550738018,서울특별시 강남구 강남대로468,충림빌딩 뒤
강남구,역삼1동,서울 강남구 강남대로 438,127.026336096148,37.5016428104731,서울특별시 강남구 강남대로438,CGV 앞
강남구,역삼1동,서울 강남구 강남대로 422,127.026984908497,37.5003941401087,서울특별시 강남구 강남대로422,씨티극장 뒤
강남구,역삼1동,서울 강남구 테헤란로1길 25,127.027400362129,37.4999757073577,서울특별시 강남구 테헤란로1길 25,라공방강남2호 본점앞
강남구,역삼1동,서울 강남구 언주로98길 7,127.042455855974,37.5051532098345,서울특별시 강남구 언주로98길7,역삼동 699-2
강남구,역삼1동,서울 강남구 언주로98길 16,127.042975710463,37.5048613664371,서울특별시 강남구 언주로98길16,역삼동 700-20
강남구,도곡1동,서울 강남구 남부순환로361길 7,127.037279154327,37.4855719348865,서울특별시 강남구 남부순환로361길 7,
