시군구명,동명,설치주소,설치주체,청소관리,설치일자,위도,경도,비고
서초구,서초4동,교보타워(강남대로 465) 부지주차장 진입로 옆,교보타워,교보타워,2012-04-26,37.50375605,127.02410954,
서초구,양재1동,엘타워 뒤 주차장 진입로 옆,엘타워,엘타워,2015-04-18,37.48276664,127.03494955,
서초구,양재1동,서울가정행정법원 청사 출입계단 밑,서울가정법원,서울가정법원,2015-06-08,37.48124455,127.03618981,
서초구,반포4동,고속버스터미널역 3번출구 앞,센트럴시티,센트럴시티,2018-03-16,37.50449212,127.00784527,
서초구,서초2동,강남역 7번 출구와 8번출구 사이 보도 서초동 1319-5 앞,서초구보건소,청소행정과,2018-08-28,37.49732551,127.02728133,
서초구,방배1동,방배역 3번출구 먹자골목 입구방배동 910-9 옆,서초구보건소,청소행정과,2019-04-03,37.48217953,126.99688636,
서초구,서초2동,서초대로 78길 24 서초동 1327-5 스타벅스 앞,서초구보건소,청소행정과,2019-04-23,37.49562413,127.02772276,
서초구,서초2동,서초대로 78길 42 서초동 1330-18 현대기림오피스텔 앞,서초구보건소,청소행정과,2019-04-23,37.49400289,127.02835394,
서초구,방배2동,방배천복개도로 명동칼국수(방배동 450-14) 앞,서초구보건소,청소행정과,2019-04-26,37.47775655,126.98298721,
서초구,서초2동,서희타워(서초동1366-4) 옆 이면도로,서초구보건소,서희빌딩,2019-06-24,37.48490937,127.03290088,
서초구,반포4동,센트럴시티 호남선 출입구 옆,센트럴시티,센트럴시티,2019-08-21,37.50393518,127.00241301,
