연번,도로명,설치장소,설치 장소 유형,수거 쓰레기 종류,형태
1,망우로,상봉동 130-3,담배꽁초 무단투기 취약지역,담배꽁초,담배꽁초 수거함
2,동일로,묵동 122-361 앞,담배꽁초 무단투기 취약지역,담배꽁초,담배꽁초 수거함
3,공릉로,묵1동 주민센터 앞,담배꽁초 무단투기 취약지역,담배꽁초,담배꽁초 수거함
4,중랑역로,중랑역로 100 (디엠씨빌딩 앞),담배꽁초 무단투기 취약지역,담배꽁초,담배꽁초 수거함
5,동일로,동일로 101길 20-15 주민센터,담배꽁초 무단투기 취약지역,담배꽁초,담배꽁초 수거함
6,겸재로,겸재로3길 50 서부경로당,담배꽁초 무단투기 취약지역,담배꽁초,담배꽁초 수거함
7,겸재로,겸재로122 박가네추어탕 앞,담배꽁초 무단투기 취약지역,담배꽁초,담배꽁초 수거함
