시도명,시군구명,인허가일자,인허가취소일자,영업상태,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지우편번호,도로명전체주소,사업장명,위도,경도,지정일자,민원종류명,
서울특별시,마포구,20180914 ,,영업/정상,정상영업,,,,,,03918,서울특별시 마포구 월드컵북로 50236. 상가동 106호 (상암동. 상암월드컵파크10단지),참존마트,37.5853823,126.882182,20180914 ,제7조의3제2항에따른경우,
서울특별시,마포구,20180824 ,,영업/정상,정상영업,,,,,,04213,서울특별시 마포구 마포대로 지하 100. 공덕역 지하1층 1011호 (공덕동),(주)코리아세븐 S공덕역점,37.5512023,126.958502,20180824 ,제7조의3제3항에따른경우,
서울특별시,마포구,20180824 ,,영업/정상,정상영업,,,,,,04157,서울특별시 마포구 마포대로 69 (도화동),SK에너지(주) 양지주유소,37.542017,126.948632,20180824 ,제7조의3제2항에따른경우,
서울특별시,마포구,20180823 ,,영업/정상,정상영업,,,,,,04202,서울특별시 마포구 만리재옛길 103 (아현동),지에스25 마포만리재점,37.5513406,126.961724,20180823 ,제7조의3제2항에따른경우,
서울특별시,마포구,20180820 ,,영업/정상,정상영업,,,,,,04149,서울특별시 마포구 백범로 96. 1층 (대흥동),씨유(CU) 대흥역점,37.5476075,126.942023,20180820 ,제7조의3제2항에따른경우,
서울특별시,마포구,20180725 ,,영업/정상,정상영업,,,,,,04129,서울특별시 마포구 마포대로 195. 제상가1동 제1층 제101. 102호 (아현동. 마포 래미안 푸르지오),씨유 마포래미안푸르지오,37.5458958,126.951506,20180725 ,제7조의3제2항에따른경우,
서울특별시,마포구,20180723 ,,영업/정상,정상영업,,,,,,03955,서울특별시 마포구 방울내로9안길 71. 101.102.103호 (망원동),GS25 망원오리엔탈점,37.5601779,126.899539,20180723 ,제7조의3제2항에따른경우,
서울특별시,마포구,20180717 ,,영업/정상,정상영업,,,,,,03977,서울특별시 마포구 연남로 47. 영진빌딩 1층 (연남동),연남공판장,37.5635175,126.920568,20180717 ,제7조의3제2항에따른경우,
서울특별시,마포구,20180713 ,,영업/정상,정상영업,,,,,,04108,서울특별시 마포구 백범로 29. 1층 (신수동),씨유(CU) 서강대점,37.5520811,126.937697,20180713 ,제7조의3제2항에따른경우,
서울특별시,마포구,20180713 ,,영업/정상,정상영업,,,,,,04039,서울특별시 마포구 양화로 10013. 1층 전체호 (서교동),씨유 서교3호점,37.5524755,126.919309,20180713 ,제7조의3제2항에따른경우,
서울특별시,마포구,20180713 ,,영업/정상,정상영업,,,,,,03978,서울특별시 마포구 월드컵북로 78. 1층 (성산동),씨유(CU)성산진영점,37.5608051,126.916114,20180713 ,제7조의3제2항에따른경우,
서울특별시,마포구,20180712 ,,영업/정상,정상영업,,,,,,04056,서울특별시 마포구 와우산로 167. 2층 (동교동),GS25 동교행복점,37.5558267,126.930709,20180712 ,제7조의3제2항에따른경우,
서울특별시,마포구,20180705 ,,영업/정상,정상영업,,,,,232848129,03905,서울특별시 마포구 상암산로1길 57 (상암동. 상암월드컵파크 6단지),세븐일레븐 상암월드컵단지점,37.5796765,126.884511,20180705 ,제7조의3제2항에따른경우,
서울특별시,마포구,20180705 ,,영업/정상,정상영업,,,,,,04054,서울특별시 마포구 와우산로25길 13. 1층 (서교동),지에스25 서교사랑점,37.5539441,126.925813,20180705 ,제7조의3제2항에따른경우,
서울특별시,마포구,20180627 ,,영업/정상,정상영업,,,,,,04103,서울특별시 마포구 백범로1길 84. 101호. 102호 (노고산동),지에스25 마포세울,37.5558343,126.941154,20180627 ,제7조의3제2항에따른경우,
서울특별시,마포구,20180622 ,,영업/정상,정상영업,,,,,,04075,서울특별시 마포구 독막로 100. 세방 글로벌시티 1층 (상수동),대농마트,37.5473695,126.924614,20180622 ,제7조의3제2항에따른경우,
서울특별시,마포구,20180620 ,,영업/정상,정상영업,,,,,,04083,서울특별시 마포구 성지3길 74. 1층 (합정동),세븐일레븐 합정당인점,37.5459552,126.916895,20180620 ,제7조의3제2항에따른경우,
서울특별시,마포구,20180618 ,,영업/정상,정상영업,,,,,,04207,서울특별시 마포구 마포대로16길 4. 1층 (공덕동),씨유 마포애오개,37.5508894,126.955928,20180618 ,제7조의3제2항에따른경우,
서울특별시,마포구,20180618 ,,영업/정상,정상영업,,,,,,04157,서울특별시 마포구 마포대로 73. SK허브그린 1층 108호 (도화동),CU마포SK점,37.5423308,126.948938,20180618 ,제7조의3제2항에따른경우,
서울특별시,마포구,20180525 ,,영업/정상,정상영업,,,,,,04038,서울특별시 마포구 홍익로5길 36. 1층 (서교동),이마트24 마포서교점,37.5535968,126.920437,20180525 ,제7조의3제2항에따른경우,
서울특별시,마포구,20180518 ,,영업/정상,정상영업,,,,,,04081,서울특별시 마포구 토정로 136. 1층 (상수동),GS25 상수강변점,37.5452211,126.926295,20180518 ,제7조의3제2항에따른경우,
서울특별시,마포구,20180503 ,,영업/정상,정상영업,,,,,,03938,서울특별시 마포구 모래내로 5. 상암우남퍼스트빌스타 1층 1031호 (성산동),세븐일레븐 마포우남점,37.5640601,126.90378,20180503 ,제7조의3제2항에따른경우,
서울특별시,마포구,20180501 ,,영업/정상,정상영업,,,,,,04168,서울특별시 마포구 마포대로 92. 효성해링턴 스퀘어 A동 9층 (도화동),세븐일레븐 공덕글래드호텔점,37.5426955,126.951741,20180501 ,제7조의3제2항에따른경우,
서울특별시,마포구,20180423 ,,영업/정상,정상영업,,,,,232848129,04006,서울특별시 마포구 희우정로 111. 1층 (망원동),세븐일레븐 망원보령점,37.5546436,126.900784,20180423 ,제7조의3제2항에따른경우,
서울특별시,마포구,20180417 ,,영업/정상,정상영업,,,,,,04037,서울특별시 마포구 양화로 59. 1층 우측  (서교동),GS25 합정본점,37.550638,126.914856,20180417 ,제7조의3제2항에따른경우,
서울특별시,마포구,20180413 ,,영업/정상,정상영업,,,,,23747137,03953,서울특별시 마포구 월드컵로 205. 도시개발공사성산아파트 104호 (성산동),진성미니슈퍼,37.564487,126.901036,20180413 ,제7조의3제2항에따른경우,
서울특별시,마포구,20180411 ,,영업/정상,정상영업,,,,,15770711,03985,서울특별시 마포구 동교로 232. 1층 (동교동),(주)코리아세븐 동교숲길점,37.5605416,126.924444,20180411 ,제7조의3제2항에따른경우,
서울특별시,마포구,20180410 ,,영업/정상,정상영업,,,,,,04214,서울특별시 마포구 만리재로 15. 제일빌딩 1층 10호 (공덕동),제일좋은공인중개사,37.5446204,126.952639,20180410 ,제7조의3제2항에따른경우,
서울특별시,마포구,20180410 ,,영업/정상,정상영업,,,,,30,04096,서울특별시 마포구 독막로 241. 금성빌딩  103호 (대흥동),GS25 대흥사거리점,37.5468699,126.940529,20180410 ,제7조의3제2항에따른경우,
서울특별시,마포구,20180406 ,,영업/정상,정상영업,,,,,,03938,서울특별시 마포구 월드컵로 지하 190. 마포구청역 (성산동),GS25 S6 마포구청역점,37.563418,126.903472,20180406 ,제7조의3제2항에따른경우,
서울특별시,마포구,20180403 ,,영업/정상,정상영업,,,,,,03912,서울특별시 마포구 월드컵북로47길 42. 상암월드컵파크 2단지 104.105호 (상암동),씨유 상암2단지점,37.5748656,126.89145,20180403 ,제7조의3제2항에따른경우,
서울특별시,마포구,20180316 ,,영업/정상,정상영업,,,,,,04009,서울특별시 마포구 망원로6길 49. 1층 (망원동),망원망리단슈퍼,37.5547476,126.903929,20180316 ,제7조의3제2항에따른경우,
서울특별시,마포구,20180309 ,,영업/정상,정상영업,,,,,27154567,04101,서울특별시 마포구 신촌로 102. 1층 (노고산동),알파 신촌점,37.5545559,126.937261,20180309 ,제7조의3제2항에따른경우,
서울특별시,마포구,20180227 ,,영업/정상,정상영업,,,,,,04053,서울특별시 마포구 와우산로29다길 10. 지층우측  (서교동),홍대전자담배,37.5550833,126.92763,20180227 ,제7조의3제2항에따른경우,
서울특별시,마포구,20180227 ,,영업/정상,정상영업,,,,,27018711,04094,서울특별시 마포구 신수로 100. 1층 (신수동),GS25서강은혜점,37.5499729,126.936023,20180227 ,제7조의3제2항에따른경우,
서울특별시,마포구,20180223 ,,영업/정상,정상영업,,,,, ,04015,서울특별시 마포구 희우정로12길 11. 1층 102호 (망원동. 샬롬하우스),GS25 망리단길점,37.5537385,126.903643,20180223 ,제7조의3제2항에따른경우,
서울특별시,마포구,20180214 ,,영업/정상,정상영업,,,,, ,03924,서울특별시 마포구 월드컵북로54길 25. 상암DMC푸르지오시티 1층 102호 (상암동),CU상암 푸르지오점,37.5815202,126.889118,20180214 ,제7조의3제3항에따른경우,
서울특별시,마포구,20180213 ,,영업/정상,정상영업,,,,,,03965,서울특별시 마포구 성산로 124. 1층 (성산동),GS25 성산행복점,37.5637945,126.907489,20180213 ,제7조의3제2항에따른경우,
서울특별시,마포구,20180202 ,,영업/정상,정상영업,,,,,,04061,서울특별시 마포구 서강로9길 52. 1층 (창전동),GS25 창전태영점,37.5544237,126.930999,20180202 ,제7조의3제2항에따른경우,
서울특별시,마포구,20180201 ,,영업/정상,정상영업,,,,,,03970,서울특별시 마포구 월드컵로 126. 1층 (성산동),지에스25 망원중앙점,37.5595133,126.907245,20180201 ,제7조의3제2항에따른경우,
서울특별시,마포구,20180122 ,,영업/정상,정상영업,,,,,23238249,04049,서울특별시 마포구 와우산로 45. 1층 (상수동),씨유 홍대와우점,37.548513,126.922787,20180122 ,제7조의3제2항에따른경우,
서울특별시,마포구,20171219 ,,영업/정상,정상영업,,,,,,03930,서울특별시 마포구 월드컵북로44길 35. 1층 (상암동),보루(BOROO),37.5762961,126.895366,20171219 ,제7조의3제2항에따른경우,
서울특별시,마포구,20171219 ,,영업/정상,정상영업,,,,,,04024,서울특별시 마포구 월드컵로1길 14. 상가동 비105호 (합정동. 마포 한강 푸르지오),푸르지오 마트,37.5495927,126.912197,20171219 ,제7조의3제2항에따른경우,
서울특별시,마포구,20171219 ,,영업/정상,정상영업,,,,,,03974,서울특별시 마포구 월드컵북로16길 51. 1층 (성산동),연남슈퍼,37.5631798,126.917048,20171219 ,제7조의3제2항에따른경우,
서울특별시,마포구,20171211 ,,영업/정상,정상영업,,,,,,03965,서울특별시 마포구 성산로 128. 마포중앙도서관 1층 3호 (성산동),이마트24시 마포중앙도서관점,37.5638765,126.907996,20171211 ,제7조의3제3항에따른경우,
서울특별시,마포구,20171211 ,,영업/정상,정상영업,,,,,,04151,서울특별시 마포구 독막로 2531. 1층 (대흥동),보광슈퍼,37.546414,126.94176,20171211 ,제7조의3제2항에따른경우,
서울특별시,마포구,20171205 ,,영업/정상,정상영업,,,,,,04104,서울특별시 마포구 신촌로 180. 1층 (대흥동),SK텔레콤,37.556454,126.945463,20171205 ,제7조의3제2항에따른경우,
서울특별시,마포구,20171121 ,,영업/정상,정상영업,,,,,3753336,03925,서울특별시 마포구 성암로 267. 지하 1층 (상암동),(주)비지에프리테일 상암MBC점,37.5740931,126.903585,20171121 ,제7조의3제3항에따른경우,
서울특별시,마포구,20171121 ,,영업/정상,정상영업,,,,,,04178,서울특별시 마포구 마포대로4라길 32. 지1층. 1층 (마포동),지에스25마포사랑점,37.5369425,126.946318,20171121 ,제7조의3제2항에따른경우,
서울특별시,마포구,20171114 ,,영업/정상,정상영업,,,,,,04155,서울특별시 마포구 독막로42길 7. 103호 (염리동),씨유 마포염리점,37.5433403,126.946167,20171114 ,제7조의3제2항에따른경우,
서울특별시,마포구,20171113 ,,영업/정상,정상영업,,,,,,03972,서울특별시 마포구 월드컵북로 132. 1층 일부호 (성산동),이마트24 마포성산법정점,37.5647103,126.912596,20171113 ,제7조의3제2항에따른경우,
서울특별시,마포구,20171110 ,,영업/정상,정상영업,,,,,3372678,03964,서울특별시 마포구 월드컵로25길 26. 102동 144.45.46.47호 (망원동. 마포영화블렌하임),월드컵마트,37.5585367,126.90629,20171110 ,제7조의3제2항에따른경우,
서울특별시,마포구,20171102 ,,영업/정상,정상영업,,,,,,04044,서울특별시 마포구 양화로6길 39. 1층 2호 (서교동),이마트24 홍대합정점,37.5489942,126.916389,20171102 ,제7조의3제2항에따른경우,
서울특별시,마포구,20171031 ,,영업/정상,정상영업,,,,,,04145,서울특별시 마포구 마포대로7길 23. 지층 (공덕동),지에스25공덕제니스,37.5472246,126.951826,20171031 ,제7조의3제2항에따른경우,
서울특별시,마포구,20171030 ,,영업/정상,정상영업,,,,,,03974,서울특별시 마포구 성미산로13길 96. 1층 (성산동),GS25성산타이거점,37.5651026,126.916259,20171030 ,제7조의3제2항에따른경우,
서울특별시,마포구,20171018 ,,영업/정상,정상영업,,,,,,03963,서울특별시 마포구 월드컵로 139. 1층 101호 (망원동),CU마포구청점,37.5602541,126.905905,20171018 ,제7조의3제2항에따른경우,
서울특별시,마포구,20171018 ,,영업/정상,정상영업,,,,,,04012,서울특별시 마포구 동교로9길 83. 1층 (망원동),(주)코리아세븐 망원동교로점,37.5571046,126.908099,20171018 ,제7조의3제2항에따른경우,
서울특별시,마포구,20171010 ,,영업/정상,정상영업,,,,,,04198,서울특별시 마포구 손기정로 25. 1층 (아현동),서울365VCPlus(가구단지점),37.5570981,126.961502,20171010 ,제7조의3제2항에따른경우,
서울특별시,마포구,20170926 ,,영업/정상,정상영업,,,,,,03978,서울특별시 마포구 월드컵북로12길 19 (성산동. 1층 코너),지에스25 성산퍼스트점,37.561882,126.915444,20170926 ,제7조의3제2항에따른경우,
서울특별시,마포구,20170919 ,,영업/정상,정상영업,,,,,,04051,서울특별시 마포구 어울마당로 1511 (동교동),커피앤스모킹(Coffe&Smoking),37.5567353,126.926588,20170919 ,제7조의3제2항에따른경우,
서울특별시,마포구,20170918 ,,영업/정상,정상영업,,,,,15770711,03979,서울특별시 마포구 성미산로23길 165. B101호 (연남동),(주)코리아세븐 연남숲길점,37.5644709,126.921371,20170918 ,제7조의3제2항에따른경우,
서울특별시,마포구,20170915 ,,영업/정상,정상영업,,,,,,03930,서울특별시 마포구 월드컵북로44길 49 (상암동),프렌들이스토아,37.5767657,126.894707,20170915 ,제7조의3제2항에따른경우,
서울특별시,마포구,20170904 ,,영업/정상,정상영업,,,,,,04184,서울특별시 마포구 효창원로 249 (공덕동. 1층 상가),씨유 공덕배문점,37.5494127,126.963404,20170904 ,제7조의3제2항에따른경우,
서울특별시,마포구,20170830 ,,영업/정상,정상영업,,,,,,03981,서울특별시 마포구 성미산로 191. 1층 (연남동),GS25 연남동진점,37.5629124,126.926541,20170830 ,제7조의3제2항에따른경우,
서울특별시,마포구,20170829 ,,영업/정상,정상영업,,,,,,04085,서울특별시 마포구 토정로 22. 1층 (합정동),씨유 합정카페거리점,37.543437,126.928982,20170829 ,제7조의3제2항에따른경우,
서울특별시,마포구,20170810 ,,영업/정상,정상영업,,,,,,04005,서울특별시 마포구 동교로3길 105. 1층 (망원동),지에스25 망원스카이점,37.554809,126.899,20170810 ,제7조의3제2항에따른경우,
서울특별시,마포구,20170802 ,,영업/정상,정상영업,,,,,,04018,서울특별시 마포구 동교로 77 (망원동. 1층 좌측),하비수족관,37.554033,126.910634,20170802 ,제7조의3제2항에따른경우,
서울특별시,마포구,20170726 ,,영업/정상,정상영업,,,,,,04056,서울특별시 마포구 신촌로4길 18. 1층 (동교동),GS25경의선책거리점,37.5573735,126.928782,20170726 ,제7조의3제2항에따른경우,
서울특별시,마포구,20170718 ,,영업/정상,정상영업,,,,,,04073,서울특별시 마포구 토정로5길 30. 1층 (합정동),이마트24 합정당인점,37.5466128,126.918654,20170718 ,제7조의3제2항에따른경우,
서울특별시,마포구,20170714 ,,영업/정상,정상영업,,,,,23733731,03947,서울특별시 마포구 월드컵북로 185. 1층 (성산동),세븐일레븐 마포성산대로점,37.5678704,126.907933,20170714 ,제7조의3제2항에따른경우,
서울특별시,마포구,20170712 ,,영업/정상,정상영업,,,,,,03921,서울특별시 마포구 월드컵북로60길 17. 지상2층 (상암동. 우리금융상암센터),우리마트,37.5833961,126.885961,20170712 ,제7조의3제3항에따른경우,
서울특별시,마포구,20170710 ,,영업/정상,정상영업,,,,,,03939,서울특별시 마포구 새터산길 1. 1층 (성산동),위드미 성산월드점,37.5648931,126.90712,20170710 ,제7조의3제2항에따른경우,
서울특별시,마포구,20170710 ,,영업/정상,정상영업,,,,,27171870,04090,서울특별시 마포구 독막로 236 (신수동),정문사,37.5467083,126.93982,20170710 ,제7조의3제2항에따른경우,
서울특별시,마포구,20170622 ,,영업/정상,정상영업,,,,,,04177,서울특별시 마포구 마포대로4다길 18. 1층 105호 (마포동. 강변한신코아빌딩),씨유 신마포강변점,37.536292,126.9439,20170622 ,제7조의3제3항에따른경우,
서울특별시,마포구,20170621 ,,영업/정상,정상영업,,,,,23224934,03963,서울특별시 마포구 월드컵로 111. 103호 (망원동. 망원우체국),진텔레콤 망원3호점,37.5581472,126.907815,20170621 ,제7조의3제2항에따른경우,
서울특별시,마포구,20170612 ,,영업/정상,정상영업,,,,,,04010,서울특별시 마포구 포은로 106 (망원동),명동공인중개사사무소,37.5563762,126.904842,20170612 ,제7조의3제2항에따른경우,
서울특별시,마포구,20170612 ,,영업/정상,정상영업,,,,,,03938,서울특별시 마포구 모래내로1길 20. 102호 (성산동),씨유 마포자이툰점,37.5649684,126.903435,20170612 ,제7조의3제2항에따른경우,
서울특별시,마포구,20170609 ,,영업/정상,정상영업,,,,,,03906,서울특별시 마포구 월드컵로42길 14. 상암월드컵파크8단지 상가동 101호 (상암동),GS25 상암8단지,37.5775595,126.882951,20170609 ,제7조의3제2항에따른경우,
서울특별시,마포구,20170522 ,,영업/정상,정상영업,,,,,,04169,서울특별시 마포구 새창로4길 19. 1층 101호 (도화동),성보전기,37.5411764,126.951476,20170522 ,제7조의3제2항에따른경우,
서울특별시,마포구,20170515 ,,영업/정상,정상영업,,,,,27014989,04187,서울특별시 마포구 만리재로 74. 상가2동 118호 (신공덕동. 신공덕2차삼성래미안),마포부동산공인중개사사무소,37.5464743,126.958169,20170515 ,제7조의3제3항에따른경우,
서울특별시,마포구,20170502 ,,영업/정상,정상영업,,,,,,03973,서울특별시 마포구 월드컵북로 118. 1층 (성산동),씨유 성산아리랑점,37.5636679,126.91349,20170502 ,제7조의3제2항에따른경우,
서울특별시,마포구,20170425 ,,영업/정상,정상영업,,,,,,03961,서울특별시 마포구 방울내로9안길 1. 1층 (망원동),GS25 망원마젤란점,37.5617619,126.902832,20170425 ,제7조의3제2항에따른경우,
서울특별시,마포구,20170425 ,,영업/정상,정상영업,,,,,,03973,서울특별시 마포구 성미산로11길 81. 101호 (성산동. 지오빌),세븐일레븐 마포한사랑길점,37.5642049,126.915648,20170425 ,제7조의3제2항에따른경우,
서울특별시,마포구,20170425 ,,영업/정상,정상영업,,,,,,04182,서울특별시 마포구 새창로 52. 13동 109호.110호 (도화동. 도화동현대아파트),세븐일레븐 도화점,37.5395096,126.954021,20170425 ,제7조의3제3항에따른경우,
서울특별시,마포구,20170420 ,,영업/정상,정상영업,,,,,,04051,서울특별시 마포구 양화로18안길 28. 1층 (동교동),GS25 홍대공원점,37.5569,126.926169,20170420 ,제7조의3제2항에따른경우,
서울특별시,마포구,20170420 ,,영업/정상,정상영업,,,,,,04171,서울특별시 마포구 도화4길 88. 1층 (도화동),GS25 도화정진점,37.5384448,126.950602,20170420 ,제7조의3제2항에따른경우,
