업종,시설명(업소),주소,흡연실 개소수,위도,경도
게임업소,큐브PC,서울특별시 중랑구 중화동 307-62번지,1,37.6040685543054,127.07749739188
게임업소,콩PC,서울특별시 중랑구 묵동 238-2번지,1,37.6135573988072,127.076691416461
게임업소,로웰 PC Cafe,서울특별시 중랑구 망우동 491-38번지,1,37.5982063894816,127.096731136846
게임업소,뉴본PC CAFE,서울특별시 중랑구 중화동 315-10번지,1,37.598417829886,127.076920129769
게임업소,셀프PC,서울특별시 중랑구 중화동 325-16번지,1,37.5963443776627,127.071921376909
게임업소,일레븐,서울특별시 중랑구 면목동 472-8번지,1,37.5808758948202,127.089894605614
게임업소,망고톡PC방,서울특별시 중랑구 면목동 68-11번지,1,37.5869308084057,127.094320335132
게임업소,NY시스템,서울특별시 중랑구 중화동 301-49번지,1,37.59776826282,127.079433104898
게임업소,천PC,서울특별시 중랑구 면목동 175-85번지,1,37.5862754722813,127.07890936289
게임업소,승PC,서울특별시 중랑구 망우동 357-36번지,1,37.6007168279136,127.100706684761
게임업소,베테랑,서울특별시 중랑구 상봉동 90-12번지,1,37.5957222101348,127.089137034037
게임업소,피에스타PC방 면목점,서울특별시 중랑구 면목동 161-34번지,1,37.5846278991348,127.080139203637
게임업소,우리PC,서울특별시 중랑구 상봉동 84-28번지,1,37.5941430695297,127.092382867731
게임업소,세븐(파라다이스)PC,서울특별시 중랑구 상봉동 90-49번지,1,37.5955997342336,127.089178331625
게임업소,PC클럽,서울특별시 중랑구 망우동 516-2번지,1,37.5951975996455,127.093286755568
게임업소,RAON기획,서울특별시 중랑구 상봉동 88-38번지,1,37.5949462234859,127.090977731809
게임업소,Heaven PC방,서울특별시 중랑구 망우동 410-1번지,1,37.5949391813003,127.100228074876
게임업소,스타덤PC 상봉역점,서울특별시 중랑구 상봉동 115-19번지,1,37.5954972305949,127.083216554894
게임업소,겜스터PC방,서울특별시 중랑구 묵동 176-1번지,1,37.6118890307623,127.078348491691
게임업소,스카이PC,서울특별시 중랑구 상봉동 90-61번지,1,37.5960973797084,127.088181666101
게임업소,아이센스PC방,서울특별시 중랑구 상봉동 129-3번지,1,37.5938125757338,127.076531648156
게임업소,엔플세븐PC방,서울특별시 중랑구 망우동 358-5번지,1,37.6002078079901,127.100765789943
게임업소,킹PC,서울특별시 중랑구 신내동 800번지,1,37.6006601707167,127.099946982625
게임업소,아이비스PC방,서울특별시 중랑구 면목동 17-31번지,1,37.5899506825289,127.097404107108
게임업소,놀다가바둑이PC,서울특별시 중랑구 상봉동 130-139번지,1,37.5931622365672,127.076118936656
게임업소,행운PC,서울특별시 중랑구 상봉동 130-130번지,1,37.5932395259284,127.076422133532
게임업소,아이비스PC,서울특별시 중랑구 면목동 105-4번지,1,37.5886359194834,127.089600611672
게임업소,엔큐브면목점,서울특별시 중랑구 면목동 720-6번지,1,37.5743072662696,127.080301001951
