시도명,시군구명,도로명주소,세부위치,데이터기준일자,위도,경도
서울특별시,마포구,서울특별시 마포구 양화로 156,홍대입구역 9번출구 LG팰리스 뒤쪽 도로,2022-08-05,37.5561130617043,126.923446601456
서울특별시,마포구,서울특별시 마포구 양화로 183,홍대입구역 3번출구 인근,2022-08-05,37.5583675467575,126.925148412411
서울특별시,마포구,서울특별시 마포구 마포대로 144,마포T타운 뒤쪽 도로,2022-08-05,37.5470013514751,126.953756813538
서울특별시,마포구,서울특별시 마포구 상암산로 38, kbs 건물 인근,2022-08-05,37.5766140945901,126.889693255443
